sample_id,tr_id,T,target_stop_id,target_time_begin,cur_dev_s,target_delay_s,target_class
122048_1767665400,122048,2026-01-06 02:10:00,53699018679,2026-01-06 02:22:00.000000000,0.0,-25.0,ontime
122048_1767665700,122048,2026-01-06 02:15:00,53699018678,2026-01-06 02:26:00.000000000,0.0,0.0,ontime
122048_1767666000,122048,2026-01-06 02:20:00,53699018687,2026-01-06 02:32:00.000000000,0.0,0.0,ontime
122048_1767666300,122048,2026-01-06 02:25:00,53699018692,2026-01-06 02:37:00.000000000,0.0,0.0,ontime
122048_1767666600,122048,2026-01-06 02:30:00,53699018689,2026-01-06 02:41:00.000000000,0.0,0.0,ontime
133957_1767666600,133957,2026-01-06 02:30:00,53699456164,2026-01-06 02:45:00.000000000,0.0,-32.0,ontime
129964_1767666600,129964,2026-01-06 02:30:00,53700336279,2026-01-06 02:41:00.000000000,-97.0,44.0,ontime
133957_1767666900,133957,2026-01-06 02:35:00,53699456165,2026-01-06 02:47:00.000000000,0.0,-32.0,ontime
132430_1767666900,132430,2026-01-06 02:35:00,53698549255,2026-01-06 02:46:00.000000000,5.0,46.0,ontime
122048_1767666900,122048,2026-01-06 02:35:00,53699018674,2026-01-06 02:46:00.000000000,0.0,0.0,ontime
129964_1767666900,129964,2026-01-06 02:35:00,53700336275,2026-01-06 02:47:00.000000000,-51.0,16.0,ontime
133957_1767667200,133957,2026-01-06 02:40:00,53699456169,2026-01-06 02:51:00.000000000,0.0,17.0,ontime
132430_1767667200,132430,2026-01-06 02:40:00,53698549241,2026-01-06 02:51:00.000000000,22.0,102.0,ontime
122048_1767667200,122048,2026-01-06 02:40:00,53699018698,2026-01-06 02:51:00.000000000,0.0,0.0,ontime
129964_1767667200,129964,2026-01-06 02:40:00,53700336272,2026-01-06 02:51:00.000000000,5.0,-27.0,ontime
132430_1767667500,132430,2026-01-06 02:45:00,53698549239,2026-01-06 02:57:00.000000000,28.0,-23.0,ontime
122048_1767667500,122048,2026-01-06 02:45:00,53699018670,2026-01-06 02:56:00.000000000,0.0,0.0,ontime
129964_1767667500,129964,2026-01-06 02:45:00,53700336268,2026-01-06 02:56:00.000000000,46.0,2.0,ontime
133957_1767667500,133957,2026-01-06 02:45:00,53699456157,2026-01-06 02:56:00.000000000,-32.0,-66.0,early
122048_1767667800,122048,2026-01-06 02:50:00,53699018706,2026-01-06 03:01:00.000000000,0.0,0.0,ontime
133957_1767667800,133957,2026-01-06 02:50:00,53699456162,2026-01-06 03:01:00.000000000,24.0,-74.0,early
132430_1767667800,132430,2026-01-06 02:50:00,53698549244,2026-01-06 03:01:00.000000000,93.0,-2.0,ontime
129964_1767667800,129964,2026-01-06 02:50:00,53700336264,2026-01-06 03:02:00.000000000,6.0,-70.0,early
134040_1767667800,134040,2026-01-06 02:50:00,53698328425,2026-01-06 03:03:00.000000000,0.0,20.0,ontime
129964_1767668100,129964,2026-01-06 02:55:00,53700336262,2026-01-06 03:06:00.000000000,-7.0,-76.0,early
132430_1767668100,132430,2026-01-06 02:55:00,53698549731,2026-01-06 03:06:00.000000000,40.0,27.0,ontime
122048_1767668100,122048,2026-01-06 02:55:00,53699018694,2026-01-06 03:07:00.000000000,0.0,0.0,ontime
133957_1767668100,133957,2026-01-06 02:55:00,53699456173,2026-01-06 03:06:00.000000000,-7.0,-61.0,early
134040_1767668100,134040,2026-01-06 02:55:00,53698328422,2026-01-06 03:06:00.000000000,0.0,93.0,ontime
132430_1767668400,132430,2026-01-06 03:00:00,53698549732,2026-01-06 03:11:00.000000000,25.0,22.0,ontime
122048_1767668400,122048,2026-01-06 03:00:00,53699018704,2026-01-06 03:11:00.000000000,0.0,0.0,ontime
133957_1767668400,133957,2026-01-06 03:00:00,53699456177,2026-01-06 03:11:00.000000000,-109.0,-34.0,ontime
122048_1767668700,122048,2026-01-06 03:05:00,53699018826,2026-01-06 03:16:00.000000000,0.0,0.0,ontime
132430_1767668700,132430,2026-01-06 03:05:00,53698549735,2026-01-06 03:16:00.000000000,10.0,74.0,ontime
122048_1767669000,122048,2026-01-06 03:10:00,53699018813,2026-01-06 03:21:00.000000000,0.0,0.0,ontime
132430_1767669000,132430,2026-01-06 03:10:00,53698549747,2026-01-06 03:21:00.000000000,20.0,1.0,ontime
133957_1767669300,133957,2026-01-06 03:15:00,53699456195,2026-01-06 03:30:00.000000000,-34.0,46.0,ontime
132430_1767669300,132430,2026-01-06 03:15:00,53698549752,2026-01-06 03:26:00.000000000,136.0,4.0,ontime
122048_1767669300,122048,2026-01-06 03:15:00,53699018801,2026-01-06 03:26:00.000000000,0.0,0.0,ontime
122048_1767669600,122048,2026-01-06 03:20:00,53699018821,2026-01-06 03:31:00.000000000,0.0,0.0,ontime
133957_1767669600,133957,2026-01-06 03:20:00,53699456196,2026-01-06 03:32:00.000000000,-34.0,58.0,ontime
132430_1767669600,132430,2026-01-06 03:20:00,53698549748,2026-01-06 03:31:00.000000000,11.0,84.0,ontime
133957_1767669900,133957,2026-01-06 03:25:00,53699456199,2026-01-06 03:36:00.000000000,-34.0,40.0,ontime
122048_1767669900,122048,2026-01-06 03:25:00,53699018809,2026-01-06 03:37:00.000000000,0.0,0.0,ontime
132430_1767669900,132430,2026-01-06 03:25:00,53698549730,2026-01-06 03:37:00.000000000,-8.0,58.0,ontime
133957_1767670200,133957,2026-01-06 03:30:00,53699456188,2026-01-06 03:41:00.000000000,21.0,133.0,late
134040_1767670200,134040,2026-01-06 03:30:00,53698328448,2026-01-06 03:43:00.000000000,135.0,110.0,ontime
129964_1767670200,129964,2026-01-06 03:30:00,53700336333,2026-01-06 03:41:00.000000000,28.0,74.0,ontime
135081_1767670200,135081,2026-01-06 03:30:00,53699791146,2026-01-06 03:42:00.000000000,0.0,14.0,ontime
122048_1767670200,122048,2026-01-06 03:30:00,53699018797,2026-01-06 03:41:00.000000000,0.0,0.0,ontime
122048_1767670500,122048,2026-01-06 03:35:00,53699018837,2026-01-06 03:46:00.000000000,0.0,0.0,ontime
129964_1767670500,129964,2026-01-06 03:35:00,53700336329,2026-01-06 03:47:00.000000000,-13.0,61.0,ontime
133957_1767670500,133957,2026-01-06 03:35:00,53699456192,2026-01-06 03:46:00.000000000,36.0,55.0,ontime
134040_1767670500,134040,2026-01-06 03:35:00,53698328462,2026-01-06 03:47:00.000000000,125.0,129.0,late
135081_1767670500,135081,2026-01-06 03:35:00,53699791126,2026-01-06 03:47:00.000000000,0.0,63.0,ontime
132430_1767670500,132430,2026-01-06 03:35:00,53698549967,2026-01-06 03:48:00.000000000,99.0,215.0,late
135081_1767670800,135081,2026-01-06 03:40:00,53699791118,2026-01-06 03:52:00.000000000,0.0,54.0,ontime
129964_1767670800,129964,2026-01-06 03:40:00,53700336326,2026-01-06 03:51:00.000000000,103.0,-16.0,ontime
133957_1767670800,133957,2026-01-06 03:40:00,53699456182,2026-01-06 03:51:00.000000000,112.0,-10.0,ontime
122048_1767670800,122048,2026-01-06 03:40:00,53699018805,2026-01-06 03:51:00.000000000,0.0,0.0,ontime
134040_1767670800,134040,2026-01-06 03:40:00,53698328439,2026-01-06 03:52:00.000000000,111.0,132.0,late
132430_1767670800,132430,2026-01-06 03:40:00,53698549965,2026-01-06 03:53:00.000000000,58.0,162.0,late
134040_1767671100,134040,2026-01-06 03:45:00,53698328453,2026-01-06 03:59:00.000000000,179.0,60.0,ontime
133957_1767671100,133957,2026-01-06 03:45:00,53699456148,2026-01-06 04:00:00.000000000,82.0,-86.0,early
129964_1767671100,129964,2026-01-06 03:45:00,53700336323,2026-01-06 03:56:00.000000000,75.0,-55.0,ontime
132430_1767671100,132430,2026-01-06 03:45:00,53698549947,2026-01-06 03:56:00.000000000,58.0,137.0,late
122048_1767671100,122048,2026-01-06 03:45:00,53699018832,2026-01-06 03:56:00.000000000,0.0,0.0,ontime
135081_1767671100,135081,2026-01-06 03:45:00,53699791128,2026-01-06 03:57:00.000000000,59.0,45.0,ontime
122048_1767671400,122048,2026-01-06 03:50:00,53699018836,2026-01-06 04:01:00.000000000,0.0,0.0,ontime
129964_1767671400,129964,2026-01-06 03:50:00,53700336318,2026-01-06 04:01:00.000000000,4.0,22.0,ontime
132430_1767671400,132430,2026-01-06 03:50:00,53698549968,2026-01-06 04:01:00.000000000,215.0,244.0,late
134040_1767671400,134040,2026-01-06 03:50:00,53698328463,2026-01-06 04:01:00.000000000,140.0,43.0,ontime
133957_1767671400,133957,2026-01-06 03:50:00,53699456149,2026-01-06 04:02:00.000000000,19.0,-86.0,early
135081_1767671400,135081,2026-01-06 03:50:00,53699791143,2026-01-06 04:01:00.000000000,73.0,84.0,ontime
135081_1767671700,135081,2026-01-06 03:55:00,53699791117,2026-01-06 04:06:00.000000000,29.0,104.0,ontime
132430_1767671700,132430,2026-01-06 03:55:00,53698549955,2026-01-06 04:06:00.000000000,143.0,324.0,late
133957_1767671700,133957,2026-01-06 03:55:00,53699456142,2026-01-06 04:06:00.000000000,-64.0,-40.0,ontime
134040_1767671700,134040,2026-01-06 03:55:00,53698328456,2026-01-06 04:07:00.000000000,146.0,-29.0,ontime
122048_1767671700,122048,2026-01-06 03:55:00,53699018833,2026-01-06 04:06:00.000000000,0.0,0.0,ontime
129964_1767671700,129964,2026-01-06 03:55:00,53700336315,2026-01-06 04:07:00.000000000,-25.0,-50.0,ontime
135081_1767672000,135081,2026-01-06 04:00:00,53699791152,2026-01-06 04:12:00.000000000,47.0,-33.0,ontime
132430_1767672000,132430,2026-01-06 04:00:00,53698549954,2026-01-06 04:11:00.000000000,215.0,364.0,late
129964_1767672000,129964,2026-01-06 04:00:00,53700336312,2026-01-06 04:12:00.000000000,60.0,-7.0,ontime
133957_1767672000,133957,2026-01-06 04:00:00,53699456145,2026-01-06 04:11:00.000000000,-86.0,-29.0,ontime
135081_1767672300,135081,2026-01-06 04:05:00,53699791130,2026-01-06 04:16:00.000000000,41.0,-40.0,ontime
133957_1767672300,133957,2026-01-06 04:05:00,53699456133,2026-01-06 04:16:00.000000000,-118.0,-51.0,ontime
122048_1767672300,122048,2026-01-06 04:05:00,53699018745,2026-01-06 04:19:00.000000000,0.0,66.0,ontime
132430_1767672300,132430,2026-01-06 04:05:00,53698549949,2026-01-06 04:17:00.000000000,276.0,275.0,late
129964_1767672300,129964,2026-01-06 04:05:00,53700336308,2026-01-06 04:16:00.000000000,-37.0,-9.0,ontime
133957_1767672600,133957,2026-01-06 04:10:00,53699456137,2026-01-06 04:22:00.000000000,-14.0,-8.0,ontime
135081_1767672600,135081,2026-01-06 04:10:00,53699791141,2026-01-06 04:21:00.000000000,49.0,-145.0,early
122048_1767672600,122048,2026-01-06 04:10:00,53699018748,2026-01-06 04:21:00.000000000,0.0,66.0,ontime
132430_1767672600,132430,2026-01-06 04:10:00,53698549961,2026-01-06 04:21:00.000000000,319.0,322.0,late
133957_1767672900,133957,2026-01-06 04:15:00,53699456150,2026-01-06 04:26:00.000000000,-41.0,-34.0,ontime
122048_1767672900,122048,2026-01-06 04:15:00,53699018739,2026-01-06 04:26:00.000000000,0.0,170.0,late
132430_1767672900,132430,2026-01-06 04:15:00,53698549497,2026-01-06 04:28:00.000000000,242.0,130.0,late
130238_1767672900,130238,2026-01-06 04:15:00,53698370214,2026-01-06 04:27:00.000000000,0.0,-23.0,ontime
135081_1767672900,135081,2026-01-06 04:15:00,53699791138,2026-01-06 04:26:00.000000000,-32.0,-98.0,early
129964_1767672900,129964,2026-01-06 04:15:00,53700336370,2026-01-06 04:26:00.000000000,7.0,-29.0,ontime
129964_1767673200,129964,2026-01-06 04:20:00,53700336366,2026-01-06 04:31:00.000000000,-9.0,-57.0,ontime
130238_1767673200,130238,2026-01-06 04:20:00,53698370216,2026-01-06 04:31:00.000000000,0.0,39.0,ontime
122048_1767673200,122048,2026-01-06 04:20:00,53699018727,2026-01-06 04:31:00.000000000,66.0,41.0,ontime
132430_1767673200,132430,2026-01-06 04:20:00,53698549492,2026-01-06 04:31:00.000000000,310.0,129.0,late
135081_1767673200,135081,2026-01-06 04:20:00,53699790882,2026-01-06 04:32:00.000000000,-103.0,71.0,ontime
129964_1767673500,129964,2026-01-06 04:25:00,53700336362,2026-01-06 04:36:00.000000000,-9.0,19.0,ontime
122048_1767673500,122048,2026-01-06 04:25:00,53699018726,2026-01-06 04:36:00.000000000,169.0,25.0,ontime
132430_1767673500,132430,2026-01-06 04:25:00,53698549476,2026-01-06 04:36:00.000000000,229.0,265.0,late
130238_1767673500,130238,2026-01-06 04:25:00,53698370199,2026-01-06 04:36:00.000000000,0.0,26.0,ontime
135081_1767673500,135081,2026-01-06 04:25:00,53699790888,2026-01-06 04:36:00.000000000,-120.0,64.0,ontime
130238_1767673800,130238,2026-01-06 04:30:00,53698370210,2026-01-06 04:41:00.000000000,90.0,10.0,ontime
131672_1767673800,131672,2026-01-06 04:30:00,53700172804,2026-01-06 04:41:00.000000000,-6.0,-73.0,early
133957_1767673800,133957,2026-01-06 04:30:00,53699456223,2026-01-06 04:45:00.000000000,-4.0,32.0,ontime
129964_1767673800,129964,2026-01-06 04:30:00,53700336358,2026-01-06 04:41:00.000000000,-64.0,-15.0,ontime
135081_1767673800,135081,2026-01-06 04:30:00,53699790891,2026-01-06 04:41:00.000000000,-96.0,111.0,ontime
129964_1767674100,129964,2026-01-06 04:35:00,53700336353,2026-01-06 04:46:00.000000000,34.0,72.0,ontime
130238_1767674100,130238,2026-01-06 04:35:00,53698370197,2026-01-06 04:46:00.000000000,39.0,131.0,late
135081_1767674100,135081,2026-01-06 04:35:00,53699790895,2026-01-06 04:46:00.000000000,71.0,80.0,ontime
131672_1767674100,131672,2026-01-06 04:35:00,53700172846,2026-01-06 04:48:00.000000000,0.0,121.0,late
133957_1767674100,133957,2026-01-06 04:35:00,53699456215,2026-01-06 04:47:00.000000000,-4.0,43.0,ontime
133957_1767674400,133957,2026-01-06 04:40:00,53699456218,2026-01-06 04:51:00.000000000,-4.0,74.0,ontime
135081_1767674400,135081,2026-01-06 04:40:00,53699790899,2026-01-06 04:52:00.000000000,133.0,122.0,late
129964_1767674400,129964,2026-01-06 04:40:00,53700336395,2026-01-06 04:51:00.000000000,3.0,95.0,ontime
131672_1767674400,131672,2026-01-06 04:40:00,53700172849,2026-01-06 04:51:00.000000000,-31.0,145.0,late
130238_1767674400,130238,2026-01-06 04:40:00,53698370207,2026-01-06 04:51:00.000000000,-42.0,168.0,late
130238_1767674700,130238,2026-01-06 04:45:00,53698370206,2026-01-06 04:56:00.000000000,139.0,240.0,late
131672_1767674700,131672,2026-01-06 04:45:00,53700172844,2026-01-06 04:56:00.000000000,-73.0,125.0,late
133957_1767674700,133957,2026-01-06 04:45:00,53699456222,2026-01-06 04:56:00.000000000,48.0,171.0,late
135081_1767674700,135081,2026-01-06 04:45:00,53699790893,2026-01-06 04:56:00.000000000,82.0,94.0,ontime
129964_1767674700,129964,2026-01-06 04:45:00,53700336392,2026-01-06 04:56:00.000000000,2.0,46.0,ontime
130238_1767675000,130238,2026-01-06 04:50:00,53698370227,2026-01-06 05:02:00.000000000,179.0,233.0,late
135081_1767675000,135081,2026-01-06 04:50:00,53699790897,2026-01-06 05:02:00.000000000,161.0,53.0,ontime
129964_1767675000,129964,2026-01-06 04:50:00,53700336388,2026-01-06 05:02:00.000000000,38.0,38.0,ontime
131672_1767675000,131672,2026-01-06 04:50:00,53700172864,2026-01-06 05:01:00.000000000,146.0,166.0,late
133300_1767675000,133300,2026-01-06 04:50:00,53700641008,2026-01-06 05:05:00.000000000,0.0,99.0,ontime
133957_1767675000,133957,2026-01-06 04:50:00,53699456210,2026-01-06 05:02:00.000000000,61.0,92.0,ontime
135081_1767675300,135081,2026-01-06 04:55:00,53699790868,2026-01-06 05:06:00.000000000,114.0,208.0,late
133300_1767675300,133300,2026-01-06 04:55:00,53700641002,2026-01-06 05:07:00.000000000,0.0,99.0,ontime
131672_1767675300,131672,2026-01-06 04:55:00,53700172858,2026-01-06 05:06:00.000000000,108.0,88.0,ontime
129964_1767675300,129964,2026-01-06 04:55:00,53700336385,2026-01-06 05:06:00.000000000,46.0,105.0,ontime
133957_1767675300,133957,2026-01-06 04:55:00,53699456213,2026-01-06 05:06:00.000000000,123.0,5.0,ontime
133957_1767675600,133957,2026-01-06 05:00:00,53699456206,2026-01-06 05:11:00.000000000,67.0,-10.0,ontime
122048_1767675600,122048,2026-01-06 05:00:00,53699018742,2026-01-06 05:11:00.000000000,2.0,-68.0,early
133300_1767675600,133300,2026-01-06 05:00:00,53700641003,2026-01-06 05:12:00.000000000,0.0,180.0,late
129964_1767675600,129964,2026-01-06 05:00:00,53700336380,2026-01-06 05:13:00.000000000,28.0,46.0,ontime
135081_1767675600,135081,2026-01-06 05:00:00,53699790864,2026-01-06 05:11:00.000000000,61.0,299.0,late
133300_1767675900,133300,2026-01-06 05:05:00,53700641010,2026-01-06 05:16:00.000000000,99.0,135.0,late
122048_1767675900,122048,2026-01-06 05:05:00,53699018718,2026-01-06 05:16:00.000000000,-51.0,-86.0,early
129964_1767675900,129964,2026-01-06 05:05:00,53700336378,2026-01-06 05:17:00.000000000,84.0,20.0,ontime
