sample_id,tr_id,T,target_stop_id,target_time_begin,cur_dev_s
131672_1767670500,131672,2026-01-06 03:35:00,53700172828,2026-01-06 03:50:00,274.0
131672_1767670800,131672,2026-01-06 03:40:00,53700172829,2026-01-06 03:51:00,274.0
131672_1767671100,131672,2026-01-06 03:45:00,53700172826,2026-01-06 03:56:00,274.0
131672_1767671400,131672,2026-01-06 03:50:00,53700172823,2026-01-06 04:02:00,78.0
134040_1767672000,134040,2026-01-06 04:00:00,53698328460,2026-01-06 04:12:00,60.0
134040_1767672300,134040,2026-01-06 04:05:00,53698328464,2026-01-06 04:16:00,43.0
134040_1767672600,134040,2026-01-06 04:10:00,53698328461,2026-01-06 04:21:00,-2.0
134040_1767672900,134040,2026-01-06 04:15:00,53698328384,2026-01-06 04:28:00,92.0
134040_1767673200,134040,2026-01-06 04:20:00,53698328399,2026-01-06 04:31:00,82.0
134040_1767673500,134040,2026-01-06 04:25:00,53698328402,2026-01-06 04:36:00,67.0
122048_1767673800,122048,2026-01-06 04:30:00,53699018729,2026-01-06 04:41:00,163.0
122048_1767674100,122048,2026-01-06 04:35:00,53699018713,2026-01-06 04:46:00,65.0
122048_1767674400,122048,2026-01-06 04:40:00,53699018736,2026-01-06 04:51:00,16.0
122048_1767674700,122048,2026-01-06 04:45:00,53699018721,2026-01-06 04:57:00,-45.0
122048_1767675000,122048,2026-01-06 04:50:00,53699018712,2026-01-06 05:01:00,-37.0
122048_1767675300,122048,2026-01-06 04:55:00,53699018743,2026-01-06 05:06:00,-39.0
131672_1767675600,131672,2026-01-06 05:00:00,53700172861,2026-01-06 05:14:00,172.0
131672_1767675900,131672,2026-01-06 05:05:00,53700172854,2026-01-06 05:16:00,80.0
131672_1767676200,131672,2026-01-06 05:10:00,53700172856,2026-01-06 05:21:00,86.0
131672_1767676500,131672,2026-01-06 05:15:00,53700172850,2026-01-06 05:26:00,-64.0
131672_1767676800,131672,2026-01-06 05:20:00,53700172838,2026-01-06 05:33:00,-119.0
131672_1767677100,131672,2026-01-06 05:25:00,53700172840,2026-01-06 05:36:00,-11.0
122658_1767679500,122658,2026-01-06 06:05:00,53699433958,2026-01-06 06:16:00,0.0
122658_1767679800,122658,2026-01-06 06:10:00,53699433966,2026-01-06 06:22:00,0.0
122658_1767680100,122658,2026-01-06 06:15:00,53699433960,2026-01-06 06:27:00,0.0
122658_1767680400,122658,2026-01-06 06:20:00,53699433963,2026-01-06 06:31:00,49.0
122658_1767680700,122658,2026-01-06 06:25:00,53699433970,2026-01-06 06:36:00,167.0
134040_1767684600,134040,2026-01-06 07:30:00,53698328624,2026-01-06 07:42:00,-30.0
130238_1767684600,130238,2026-01-06 07:30:00,53698370374,2026-01-06 07:41:00,0.0
130238_1767684900,130238,2026-01-06 07:35:00,53698370369,2026-01-06 07:46:00,0.0
134040_1767684900,134040,2026-01-06 07:35:00,53698328662,2026-01-06 07:49:00,30.0
134040_1767685200,134040,2026-01-06 07:40:00,53698328655,2026-01-06 07:51:00,116.0
130238_1767685200,130238,2026-01-06 07:40:00,53698370373,2026-01-06 07:52:00,16.0
134040_1767685500,134040,2026-01-06 07:45:00,53698328670,2026-01-06 07:57:00,99.0
130238_1767685500,130238,2026-01-06 07:45:00,53698370384,2026-01-06 07:56:00,66.0
134040_1767685800,134040,2026-01-06 07:50:00,53698328646,2026-01-06 08:03:00,62.0
130238_1767685800,130238,2026-01-06 07:50:00,53698370378,2026-01-06 08:02:00,127.0
130238_1767686100,130238,2026-01-06 07:55:00,53698370370,2026-01-06 08:06:00,115.0
134040_1767686100,134040,2026-01-06 07:55:00,53698328650,2026-01-06 08:07:00,89.0
122658_1767686400,122658,2026-01-06 08:00:00,53699433990,2026-01-06 08:11:00,0.0
122658_1767686700,122658,2026-01-06 08:05:00,53699433988,2026-01-06 08:16:00,0.0
122658_1767687000,122658,2026-01-06 08:10:00,53699433982,2026-01-06 08:21:00,0.0
122658_1767687300,122658,2026-01-06 08:15:00,53699434006,2026-01-06 08:28:00,0.0
122658_1767687600,122658,2026-01-06 08:20:00,53699434005,2026-01-06 08:32:00,0.0
122658_1767687900,122658,2026-01-06 08:25:00,53699434011,2026-01-06 08:36:00,0.0
122613_1767690000,122613,2026-01-06 09:00:00,53718539183,2026-01-06 09:12:00,0.0
122613_1767690300,122613,2026-01-06 09:05:00,53718539202,2026-01-06 09:16:00,0.0
122613_1767690600,122613,2026-01-06 09:10:00,53718539175,2026-01-06 09:22:00,46.0
122613_1767690900,122613,2026-01-06 09:15:00,53718539186,2026-01-06 09:26:00,85.0
122613_1767691200,122613,2026-01-06 09:20:00,53718539188,2026-01-06 09:31:00,147.0
122613_1767691500,122613,2026-01-06 09:25:00,53718539173,2026-01-06 09:36:00,111.0
122048_1767695400,122048,2026-01-06 10:30:00,53699019177,2026-01-06 10:41:00,-195.0
122048_1767695700,122048,2026-01-06 10:35:00,53699019208,2026-01-06 10:48:00,-252.0
122048_1767696000,122048,2026-01-06 10:40:00,53699019206,2026-01-06 10:52:00,-294.0
122048_1767696300,122048,2026-01-06 10:45:00,53699019223,2026-01-06 10:56:00,-321.0
122048_1767696600,122048,2026-01-06 10:50:00,53699019217,2026-01-06 11:01:00,12.0
122048_1767696900,122048,2026-01-06 10:55:00,53699019205,2026-01-06 11:06:00,-73.0
133300_1767699000,133300,2026-01-06 11:30:00,53700641042,2026-01-06 11:45:00,211.0
122048_1767699000,122048,2026-01-06 11:30:00,53699019228,2026-01-06 11:42:00,-162.0
133300_1767699300,133300,2026-01-06 11:35:00,53700641036,2026-01-06 11:47:00,249.0
122048_1767699300,122048,2026-01-06 11:35:00,53699019221,2026-01-06 11:46:00,-169.0
122048_1767699600,122048,2026-01-06 11:40:00,53699019224,2026-01-06 11:52:00,-199.0
133300_1767699600,133300,2026-01-06 11:40:00,53700641043,2026-01-06 11:51:00,249.0
122048_1767699900,122048,2026-01-06 11:45:00,53699019219,2026-01-06 11:56:00,-178.0
133300_1767699900,133300,2026-01-06 11:45:00,53700641049,2026-01-06 11:56:00,-16.0
122048_1767700200,122048,2026-01-06 11:50:00,53699019085,2026-01-06 12:04:00,-311.0
133300_1767700200,133300,2026-01-06 11:50:00,53700641050,2026-01-06 12:01:00,57.0
122048_1767700500,122048,2026-01-06 11:55:00,53699019086,2026-01-06 12:06:00,-314.0
133300_1767700500,133300,2026-01-06 11:55:00,53700641056,2026-01-06 12:06:00,30.0
133957_1767700800,133957,2026-01-06 12:00:00,53699456496,2026-01-06 12:11:00,-158.0
133957_1767701100,133957,2026-01-06 12:05:00,53699456500,2026-01-06 12:16:00,56.0
133957_1767701400,133957,2026-01-06 12:10:00,53699456488,2026-01-06 12:21:00,58.0
133957_1767701700,133957,2026-01-06 12:15:00,53699456490,2026-01-06 12:26:00,147.0
133957_1767702000,133957,2026-01-06 12:20:00,53699456494,2026-01-06 12:31:00,166.0
133957_1767702300,133957,2026-01-06 12:25:00,53699456548,2026-01-06 12:37:00,156.0
129964_1767702600,129964,2026-01-06 12:30:00,53700336669,2026-01-06 12:41:00,-3.0
129964_1767702900,129964,2026-01-06 12:35:00,53700336666,2026-01-06 12:46:00,-38.0
129964_1767703200,129964,2026-01-06 12:40:00,53700336663,2026-01-06 12:51:00,-28.0
129964_1767703500,129964,2026-01-06 12:45:00,53700336660,2026-01-06 12:56:00,-23.0
129964_1767704100,129964,2026-01-06 12:55:00,53700336627,2026-01-06 13:10:00,-73.0
122658_1767706200,122658,2026-01-06 13:30:00,53699434086,2026-01-06 13:41:00,406.0
122658_1767706500,122658,2026-01-06 13:35:00,53699434081,2026-01-06 13:46:00,0.0
122658_1767706800,122658,2026-01-06 13:40:00,53699434082,2026-01-06 13:51:00,0.0
122658_1767707100,122658,2026-01-06 13:45:00,53699434080,2026-01-06 13:56:00,0.0
122658_1767707400,122658,2026-01-06 13:50:00,53699434078,2026-01-06 14:01:00,0.0
131672_1767709800,131672,2026-01-06 14:30:00,53718793724,2026-01-06 14:41:00,132.0
122048_1767709800,122048,2026-01-06 14:30:00,53699019129,2026-01-06 14:41:00,0.0
131672_1767710100,131672,2026-01-06 14:35:00,53718793725,2026-01-06 14:49:00,108.0
122048_1767710100,122048,2026-01-06 14:35:00,53699019137,2026-01-06 14:46:00,0.0
131672_1767710400,131672,2026-01-06 14:40:00,53718793720,2026-01-06 14:51:00,59.0
122048_1767710400,122048,2026-01-06 14:40:00,53699019143,2026-01-06 14:51:00,-276.0
122048_1767710700,122048,2026-01-06 14:45:00,53699019130,2026-01-06 14:56:00,-56.0
131672_1767710700,131672,2026-01-06 14:45:00,53718793722,2026-01-06 14:56:00,35.0
131672_1767711000,131672,2026-01-06 14:50:00,53718793715,2026-01-06 15:01:00,-83.0
122048_1767711000,122048,2026-01-06 14:50:00,53699019114,2026-01-06 15:01:00,140.0
122048_1767711300,122048,2026-01-06 14:55:00,53699019118,2026-01-06 15:07:00,18.0
131672_1767711300,131672,2026-01-06 14:55:00,53718793711,2026-01-06 15:08:00,-78.0
132430_1767713400,132430,2026-01-06 15:30:00,53698549618,2026-01-06 15:41:00,264.0
133300_1767713400,133300,2026-01-06 15:30:00,53700641276,2026-01-06 15:41:00,-36.0
132430_1767713700,132430,2026-01-06 15:35:00,53698549642,2026-01-06 15:46:00,318.0
133300_1767713700,133300,2026-01-06 15:35:00,53700641281,2026-01-06 15:46:00,-63.0
133300_1767714000,133300,2026-01-06 15:40:00,53700641282,2026-01-06 15:51:00,-49.0
132430_1767714000,132430,2026-01-06 15:40:00,53698549615,2026-01-06 15:51:00,289.0
132430_1767714300,132430,2026-01-06 15:45:00,53698549620,2026-01-06 15:57:00,289.0
133300_1767714600,133300,2026-01-06 15:50:00,53700641346,2026-01-06 16:05:00,6.0
132430_1767714600,132430,2026-01-06 15:50:00,53698549633,2026-01-06 16:01:00,399.0
132430_1767714900,132430,2026-01-06 15:55:00,53698549637,2026-01-06 16:06:00,266.0
133300_1767714900,133300,2026-01-06 15:55:00,53700641340,2026-01-06 16:07:00,66.0
122048_1767717000,122048,2026-01-06 16:30:00,53699018892,2026-01-06 16:42:00,0.0
122048_1767717300,122048,2026-01-06 16:35:00,53699018890,2026-01-06 16:46:00,0.0
122048_1767717600,122048,2026-01-06 16:40:00,53699018893,2026-01-06 16:51:00,0.0
122613_1767718800,122613,2026-01-06 17:00:00,53718539463,2026-01-06 17:11:00,72.0
132430_1767720000,132430,2026-01-06 17:20:00,53698549867,2026-01-06 17:31:00,440.0
132430_1767720300,132430,2026-01-06 17:25:00,53698549857,2026-01-06 17:38:00,440.0
131672_1767722400,131672,2026-01-06 18:00:00,53718793788,2026-01-06 18:11:00,-118.0
131672_1767722700,131672,2026-01-06 18:05:00,53718793784,2026-01-06 18:16:00,21.0
131672_1767723000,131672,2026-01-06 18:10:00,53718793806,2026-01-06 18:22:00,162.0
131672_1767723300,131672,2026-01-06 18:15:00,53718793800,2026-01-06 18:26:00,257.0
131672_1767723600,131672,2026-01-06 18:20:00,53718793797,2026-01-06 18:32:00,317.0
131672_1767723900,131672,2026-01-06 18:25:00,53718793816,2026-01-06 18:38:00,302.0
133957_1767724200,133957,2026-01-06 18:30:00,53699456722,2026-01-06 18:41:00,193.0
132430_1767727800,132430,2026-01-06 19:30:00,53698549332,2026-01-06 19:41:00,192.0
132430_1767728100,132430,2026-01-06 19:35:00,53698549329,2026-01-06 19:46:00,278.0
132430_1767728400,132430,2026-01-06 19:40:00,53698549322,2026-01-06 19:51:00,229.0
132430_1767728700,132430,2026-01-06 19:45:00,53698549326,2026-01-06 19:56:00,295.0
132430_1767729000,132430,2026-01-06 19:50:00,53698549342,2026-01-06 20:01:00,104.0
132430_1767729300,132430,2026-01-06 19:55:00,53698549348,2026-01-06 20:07:00,88.0
122048_1767731400,122048,2026-01-06 20:30:00,53699018766,2026-01-06 20:41:00,5.0
122048_1767731700,122048,2026-01-06 20:35:00,53699018860,2026-01-06 20:47:00,2.0
122048_1767732000,122048,2026-01-06 20:40:00,53699018841,2026-01-06 20:51:00,4.0
122048_1767732300,122048,2026-01-06 20:45:00,53699018845,2026-01-06 20:56:00,2.0
122048_1767732600,122048,2026-01-06 20:50:00,53699018850,2026-01-06 21:02:00,0.0
122048_1767732900,122048,2026-01-06 20:55:00,53699018853,2026-01-06 21:06:00,0.0
134040_1767733200,134040,2026-01-06 21:00:00,53721480950,2026-01-06 21:11:00,253.0
134040_1767733500,134040,2026-01-06 21:05:00,53721480954,2026-01-06 21:16:00,288.0
134040_1767733800,134040,2026-01-06 21:10:00,53721480955,2026-01-06 21:21:00,355.0
134040_1767734100,134040,2026-01-06 21:15:00,53721480983,2026-01-06 21:26:00,434.0
134040_1767734400,134040,2026-01-06 21:20:00,53721480985,2026-01-06 21:31:00,434.0
134040_1767734700,134040,2026-01-06 21:25:00,53721480988,2026-01-06 21:36:00,434.0
130072_1767736800,130072,2026-01-06 22:00:00,53698461695,2026-01-06 22:13:00,0.0
130072_1767737100,130072,2026-01-06 22:05:00,53698461696,2026-01-06 22:16:00,0.0
130072_1767737400,130072,2026-01-06 22:10:00,53698461700,2026-01-06 22:23:00,0.0
130072_1767737700,130072,2026-01-06 22:15:00,53698461691,2026-01-06 22:26:00,0.0
